,country_destination_encoded,country_destination
625,7,NDF
626,7,NDF
627,4,FR
628,7,NDF
629,10,US
630,1,CA
631,4,FR
632,10,US
633,10,US
634,7,NDF
635,4,FR
636,10,US
637,10,US
638,10,US
639,7,NDF
640,7,NDF
641,7,NDF
642,7,NDF
643,7,NDF
644,10,US
645,7,NDF
646,7,NDF
647,10,US
648,10,US
649,8,NL
650,7,NDF
651,10,US
652,10,US
653,7,NDF
654,10,US
655,7,NDF
656,4,FR
657,1,CA
658,7,NDF
659,10,US
660,7,NDF
661,3,ES
662,7,NDF
663,7,NDF
664,10,US
665,7,NDF
666,7,NDF
667,10,US
668,7,NDF
669,10,US
670,10,US
671,10,US
672,4,FR
673,7,NDF
674,4,FR
675,10,US
676,7,NDF
677,10,US
678,10,US
679,7,NDF
680,7,NDF
681,7,NDF
682,7,NDF
683,11,other
684,7,NDF
685,7,NDF
686,10,US
687,7,NDF
688,10,US
689,10,US
690,10,US
691,7,NDF
692,10,US
693,7,NDF
694,7,NDF
695,5,GB
696,10,US
697,6,IT
698,7,NDF
699,7,NDF
700,7,NDF
701,10,US
702,7,NDF
703,10,US
704,7,NDF
705,4,FR
706,7,NDF
707,10,US
708,10,US
709,10,US
710,7,NDF
711,7,NDF
712,10,US
713,7,NDF
714,7,NDF
715,7,NDF
716,10,US
717,7,NDF
718,10,US
719,10,US
720,7,NDF
721,10,US
722,10,US
723,10,US
724,7,NDF
725,10,US
726,7,NDF
727,7,NDF
728,7,NDF
729,10,US
730,7,NDF
731,7,NDF
732,7,NDF
733,10,US
734,7,NDF
735,10,US
736,11,other
737,10,US
738,3,ES
739,10,US
740,7,NDF
741,10,US
742,10,US
743,10,US
744,10,US
745,10,US
746,7,NDF
747,10,US
748,7,NDF
749,1,CA
750,7,NDF
751,7,NDF
752,10,US
753,7,NDF
754,7,NDF
755,10,US
756,10,US
757,7,NDF
758,7,NDF
759,7,NDF
760,10,US
761,11,other
762,7,NDF
763,7,NDF
764,10,US
765,10,US
766,10,US
767,10,US
768,7,NDF
769,11,other
770,10,US
771,7,NDF
772,10,US
773,7,NDF
774,7,NDF
775,10,US
776,7,NDF
777,7,NDF
778,7,NDF
779,10,US
780,7,NDF
781,7,NDF
782,7,NDF
783,7,NDF
784,7,NDF
785,1,CA
786,7,NDF
787,10,US
788,7,NDF
789,10,US
790,7,NDF
791,7,NDF
792,7,NDF
793,10,US
794,10,US
795,4,FR
796,10,US
797,7,NDF
798,7,NDF
799,7,NDF
800,7,NDF
801,7,NDF
802,2,DE
803,7,NDF
804,7,NDF
805,7,NDF
806,1,CA
807,7,NDF
808,10,US
809,10,US
810,10,US
811,10,US
812,10,US
813,10,US
814,7,NDF
815,10,US
816,7,NDF
817,10,US
818,7,NDF
819,10,US
820,1,CA
821,10,US
822,7,NDF
823,7,NDF
824,1,CA
825,7,NDF
826,7,NDF
827,10,US
828,2,DE
829,10,US
830,10,US
831,3,ES
832,10,US
833,7,NDF
834,10,US
835,7,NDF
836,7,NDF
837,7,NDF
838,10,US
839,4,FR
840,7,NDF
841,7,NDF
842,4,FR
843,10,US
844,7,NDF
845,3,ES
846,7,NDF
847,10,US
848,7,NDF
849,7,NDF
850,7,NDF
851,7,NDF
852,7,NDF
853,10,US
854,7,NDF
855,10,US
856,7,NDF
857,7,NDF
858,7,NDF
859,1,CA
860,7,NDF
861,10,US
862,7,NDF
863,10,US
864,10,US
865,10,US
866,7,NDF
867,7,NDF
868,7,NDF
869,7,NDF
870,7,NDF
871,10,US
872,7,NDF
873,7,NDF
874,7,NDF
875,7,NDF
876,7,NDF
877,10,US
878,4,FR
879,10,US
880,7,NDF
881,10,US
882,11,other
883,7,NDF
884,10,US
885,7,NDF
886,10,US
887,7,NDF
888,7,NDF
889,10,US
890,10,US
891,10,US
892,7,NDF
893,7,NDF
894,4,FR
895,7,NDF
896,7,NDF
897,10,US
898,10,US
899,10,US
900,7,NDF
901,10,US
902,2,DE
903,7,NDF
904,10,US
905,10,US
906,6,IT
907,3,ES
908,7,NDF
909,10,US
910,7,NDF
911,7,NDF
912,5,GB
913,7,NDF
914,10,US
915,10,US
916,10,US
917,10,US
918,7,NDF
919,7,NDF
920,10,US
921,10,US
922,1,CA
923,7,NDF
924,7,NDF
925,7,NDF
926,7,NDF
927,4,FR
928,7,NDF
929,7,NDF
930,7,NDF
931,7,NDF
932,10,US
933,10,US
934,10,US
935,7,NDF
936,7,NDF
937,7,NDF
938,10,US
939,7,NDF
940,10,US
941,10,US
942,10,US
943,7,NDF
944,10,US
945,10,US
946,7,NDF
947,10,US
948,7,NDF
949,7,NDF
950,7,NDF
951,5,GB
952,7,NDF
953,10,US
954,7,NDF
955,4,FR
956,10,US
957,10,US
958,10,US
959,7,NDF
960,10,US
961,10,US
962,7,NDF
963,7,NDF
964,7,NDF
965,7,NDF
966,7,NDF
967,7,NDF
968,7,NDF
969,1,CA
970,4,FR
971,7,NDF
972,7,NDF
973,10,US
974,7,NDF
975,10,US
976,7,NDF
977,7,NDF
978,11,other
979,7,NDF
980,4,FR
981,7,NDF
982,7,NDF
983,7,NDF
984,7,NDF
985,10,US
986,10,US
987,7,NDF
988,7,NDF
989,10,US
990,5,GB
991,10,US
992,10,US
993,10,US
994,7,NDF
995,7,NDF
996,7,NDF
997,7,NDF
998,7,NDF
999,7,NDF
1000,10,US
1001,10,US
1002,4,FR
1003,10,US
1004,5,GB
1005,10,US
1006,7,NDF
1007,7,NDF
1008,10,US
1009,7,NDF
1010,7,NDF
1011,6,IT
1012,7,NDF
1013,10,US
1014,7,NDF
1015,7,NDF
1016,10,US
1017,5,GB
1018,7,NDF
1019,7,NDF
1020,10,US
1021,7,NDF
1022,7,NDF
1023,10,US
1024,10,US
1025,7,NDF
1026,7,NDF
1027,4,FR
1028,7,NDF
1029,0,AU
1030,10,US
1031,7,NDF
1032,7,NDF
1033,10,US
1034,7,NDF
1035,10,US
1036,10,US
1037,10,US
1038,7,NDF
1039,7,NDF
1040,10,US
1041,7,NDF
1042,7,NDF
1043,10,US
1044,7,NDF
1045,10,US
1046,7,NDF
1047,10,US
1048,10,US
1049,10,US
1050,7,NDF
1051,10,US
1052,7,NDF
1053,10,US
1054,7,NDF
1055,10,US
1056,10,US
1057,1,CA
1058,10,US
1059,10,US
1060,10,US
1061,7,NDF
1062,7,NDF
1063,10,US
1064,7,NDF
1065,10,US
1066,10,US
1067,10,US
1068,7,NDF
1069,0,AU
1070,7,NDF
1071,7,NDF
1072,7,NDF
1073,7,NDF
1074,7,NDF
1075,4,FR
1076,4,FR
1077,10,US
1078,7,NDF
1079,4,FR
1080,7,NDF
1081,7,NDF
1082,10,US
1083,10,US
1084,7,NDF
1085,10,US
1086,7,NDF
1087,11,other
1088,10,US
1089,4,FR
1090,4,FR
1091,10,US
1092,10,US
1093,10,US
1094,11,other
1095,7,NDF
1096,4,FR
1097,11,other
1098,10,US
1099,7,NDF
1100,10,US
1101,10,US
1102,10,US
1103,10,US
1104,10,US
1105,3,ES
1106,7,NDF
1107,10,US
1108,10,US
1109,11,other
1110,10,US
1111,4,FR
1112,10,US
1113,7,NDF
1114,10,US
1115,10,US
1116,7,NDF
1117,7,NDF
1118,1,CA
1119,10,US
1120,5,GB
1121,10,US
1122,7,NDF
1123,7,NDF
1124,7,NDF
1125,7,NDF
1126,7,NDF
1127,7,NDF
1128,10,US
1129,10,US
1130,10,US
1131,3,ES
1132,10,US
1133,10,US
1134,4,FR
1135,7,NDF
1136,7,NDF
1137,7,NDF
1138,10,US
1139,10,US
1140,10,US
1141,7,NDF
1142,10,US
1143,11,other
1144,7,NDF
1145,4,FR
1146,7,NDF
1147,10,US
1148,10,US
1149,10,US
1150,10,US
1151,7,NDF
1152,7,NDF
1153,7,NDF
1154,10,US
1155,7,NDF
1156,7,NDF
1157,10,US
1158,5,GB
1159,7,NDF
1160,10,US
1161,7,NDF
1162,7,NDF
1163,4,FR
1164,10,US
1165,6,IT
1166,6,IT
1167,11,other
1168,7,NDF
1169,10,US
1170,10,US
1171,7,NDF
1172,7,NDF
1173,11,other
1174,7,NDF
1175,10,US
1176,10,US
1177,10,US
1178,7,NDF
1179,3,ES
1180,10,US
1181,7,NDF
1182,6,IT
1183,7,NDF
1184,7,NDF
1185,10,US
1186,7,NDF
1187,10,US
1188,10,US
1189,10,US
1190,10,US
1191,2,DE
1192,7,NDF
1193,7,NDF
1194,10,US
1195,6,IT
1196,4,FR
1197,7,NDF
1198,10,US
1199,10,US
1200,10,US
1201,7,NDF
1202,7,NDF
1203,10,US
1204,7,NDF
1205,10,US
1206,10,US
1207,10,US
1208,10,US
1209,7,NDF
1210,7,NDF
1211,10,US
1212,7,NDF
1213,6,IT
1214,10,US
1215,10,US
1216,10,US
1217,7,NDF
1218,7,NDF
1219,7,NDF
1220,10,US
1221,10,US
1222,4,FR
1223,7,NDF
1224,7,NDF
1225,10,US
1226,10,US
1227,7,NDF
1228,2,DE
1229,7,NDF
1230,7,NDF
1231,11,other
1232,3,ES
1233,7,NDF
1234,10,US
1235,10,US
1236,10,US
1237,7,NDF
1238,5,GB
1239,1,CA
1240,10,US
1241,10,US
1242,4,FR
1243,10,US
1244,1,CA
1245,10,US
1246,10,US
1247,10,US
1248,7,NDF
1249,6,IT
1250,10,US
1251,7,NDF
1252,10,US
1253,10,US
1254,4,FR
1255,10,US
1256,10,US
1257,10,US
1258,7,NDF
1259,7,NDF
1260,11,other
1261,10,US
1262,10,US
1263,10,US
1264,10,US
1265,10,US
1266,10,US
1267,10,US
1268,7,NDF
1269,3,ES
1270,7,NDF
1271,7,NDF
1272,10,US
1273,8,NL
1274,11,other
1275,10,US
1276,10,US
1277,7,NDF
1278,4,FR
1279,5,GB
1280,10,US
1281,10,US
1282,10,US
1283,7,NDF
1284,7,NDF
1285,7,NDF
1286,10,US
1287,7,NDF
1288,10,US
1289,1,CA
1290,7,NDF
1291,10,US
1292,10,US
1293,10,US
1294,7,NDF
1295,10,US
1296,7,NDF
1297,7,NDF
1298,7,NDF
1299,10,US
1300,10,US
1301,4,FR
1302,7,NDF
1303,10,US
1304,7,NDF
1305,10,US
1306,10,US
1307,6,IT
1308,7,NDF
1309,10,US
1310,7,NDF
1311,10,US
1312,10,US
1313,10,US
1314,7,NDF
1315,7,NDF
1316,3,ES
1317,6,IT
1318,7,NDF
1319,7,NDF
1320,7,NDF
1321,10,US
1322,7,NDF
1323,7,NDF
1324,10,US
1325,10,US
1326,4,FR
1327,7,NDF
1328,7,NDF
1329,10,US
1330,10,US
1331,10,US
1332,10,US
1333,7,NDF
1334,10,US
1335,7,NDF
1336,7,NDF
1337,7,NDF
1338,10,US
1339,10,US
1340,2,DE
1341,7,NDF
1342,10,US
1343,7,NDF
1344,7,NDF
1345,7,NDF
1346,10,US
1347,7,NDF
1348,7,NDF
1349,7,NDF
1350,10,US
1351,10,US
1352,4,FR
1353,10,US
1354,10,US
1355,10,US
1356,7,NDF
1357,7,NDF
1358,10,US
1359,10,US
1360,7,NDF
1361,10,US
1362,7,NDF
1363,7,NDF
1364,10,US
1365,10,US
1366,7,NDF
1367,7,NDF
1368,7,NDF
1369,10,US
1370,7,NDF
1371,5,GB
1372,10,US
1373,10,US
1374,7,NDF
1375,2,DE
1376,7,NDF
1377,7,NDF
1378,10,US
1379,7,NDF
1380,1,CA
1381,5,GB
1382,10,US
1383,10,US
1384,7,NDF
1385,10,US
1386,10,US
1387,10,US
1388,10,US
1389,10,US
1390,7,NDF
1391,7,NDF
1392,10,US
1393,10,US
1394,10,US
1395,4,FR
1396,10,US
1397,7,NDF
1398,11,other
1399,7,NDF
1400,10,US
1401,7,NDF
1402,10,US
1403,7,NDF
1404,10,US
1405,10,US
1406,7,NDF
1407,7,NDF
1408,7,NDF
1409,4,FR
1410,10,US
1411,10,US
1412,7,NDF
1413,7,NDF
1414,10,US
1415,3,ES
1416,10,US
1417,7,NDF
1418,10,US
1419,8,NL
1420,10,US
1421,2,DE
1422,5,GB
1423,7,NDF
1424,3,ES
1425,10,US
1426,10,US
1427,10,US
1428,7,NDF
1429,7,NDF
1430,7,NDF
1431,7,NDF
1432,10,US
1433,10,US
1434,7,NDF
1435,7,NDF
1436,7,NDF
1437,10,US
1438,7,NDF
1439,10,US
1440,3,ES
1441,7,NDF
1442,10,US
1443,7,NDF
1444,10,US
1445,10,US
1446,6,IT
1447,7,NDF
1448,7,NDF
1449,5,GB
1450,10,US
1451,2,DE
1452,7,NDF
1453,10,US
1454,7,NDF
1455,7,NDF
1456,7,NDF
1457,5,GB
1458,7,NDF
1459,7,NDF
1460,10,US
1461,10,US
1462,10,US
1463,7,NDF
1464,7,NDF
1465,7,NDF
1466,10,US
1467,7,NDF
1468,7,NDF
1469,7,NDF
1470,10,US
1471,11,other
1472,7,NDF
1473,10,US
1474,7,NDF
1475,7,NDF
1476,10,US
1477,7,NDF
1478,10,US
1479,10,US
1480,10,US
1481,11,other
1482,7,NDF
1483,7,NDF
1484,7,NDF
1485,10,US
1486,8,NL
1487,7,NDF
1488,7,NDF
1489,10,US
1490,10,US
1491,7,NDF
1492,10,US
1493,7,NDF
1494,10,US
1495,11,other
1496,7,NDF
1497,10,US
1498,10,US
1499,7,NDF
1500,10,US
1501,10,US
1502,10,US
1503,7,NDF
1504,7,NDF
1505,4,FR
1506,10,US
1507,7,NDF
1508,4,FR
1509,11,other
1510,10,US
1511,6,IT
1512,7,NDF
1513,7,NDF
1514,7,NDF
1515,7,NDF
1516,10,US
1517,6,IT
1518,10,US
1519,10,US
1520,10,US
1521,7,NDF
1522,10,US
1523,7,NDF
1524,7,NDF
1525,11,other
1526,10,US
1527,10,US
1528,7,NDF
1529,7,NDF
1530,10,US
1531,7,NDF
1532,7,NDF
1533,7,NDF
1534,10,US
1535,10,US
1536,7,NDF
1537,10,US
1538,7,NDF
1539,10,US
1540,7,NDF
1541,10,US
1542,7,NDF
1543,10,US
1544,7,NDF
1545,7,NDF
1546,10,US
1547,10,US
1548,10,US
1549,10,US
1550,7,NDF
1551,10,US
1552,10,US
1553,10,US
1554,7,NDF
1555,7,NDF
1556,7,NDF
1557,10,US
1558,10,US
1559,7,NDF
1560,10,US
1561,10,US
1562,7,NDF
1563,11,other
1564,10,US
1565,7,NDF
1566,7,NDF
1567,7,NDF
1568,2,DE
1569,10,US
1570,10,US
1571,7,NDF
1572,10,US
1573,7,NDF
1574,10,US
1575,7,NDF
1576,10,US
1577,7,NDF
1578,7,NDF
1579,10,US
1580,10,US
1581,10,US
1582,7,NDF
1583,10,US
1584,10,US
1585,10,US
1586,10,US
1587,7,NDF
1588,10,US
1589,7,NDF
1590,7,NDF
1591,10,US
1592,7,NDF
1593,10,US
1594,7,NDF
1595,7,NDF
1596,7,NDF
1597,10,US
1598,10,US
1599,7,NDF
1600,4,FR
1601,10,US
1602,7,NDF
1603,7,NDF
1604,10,US
1605,10,US
1606,10,US
1607,7,NDF
1608,7,NDF
1609,10,US
1610,10,US
1611,11,other
1612,10,US
1613,10,US
1614,7,NDF
1615,10,US
1616,7,NDF
1617,11,other
1618,11,other
1619,10,US
1620,10,US
1621,10,US
1622,10,US
1623,7,NDF
1624,10,US
1625,11,other
1626,7,NDF
1627,10,US
1628,10,US
1629,10,US
1630,1,CA
1631,4,FR
1632,7,NDF
1633,10,US
1634,7,NDF
1635,7,NDF
1636,7,NDF
1637,7,NDF
1638,10,US
1639,10,US
1640,10,US
1641,10,US
1642,7,NDF
1643,10,US
1644,7,NDF
1645,10,US
1646,2,DE
1647,10,US
1648,7,NDF
1649,7,NDF
1650,1,CA
1651,11,other
1652,7,NDF
1653,7,NDF
1654,10,US
1655,7,NDF
1656,10,US
1657,7,NDF
1658,7,NDF
1659,7,NDF
1660,7,NDF
1661,10,US
1662,10,US
1663,11,other
1664,7,NDF
1665,10,US
1666,10,US
1667,7,NDF
1668,10,US
1669,7,NDF
1670,11,other
1671,10,US
1672,10,US
1673,7,NDF
1674,7,NDF
1675,7,NDF
1676,10,US
1677,4,FR
1678,7,NDF
1679,10,US
1680,7,NDF
1681,10,US
1682,7,NDF
1683,10,US
1684,4,FR
1685,7,NDF
1686,7,NDF
1687,10,US
1688,4,FR
1689,7,NDF
1690,2,DE
1691,10,US
1692,11,other
1693,7,NDF
1694,3,ES
1695,10,US
1696,7,NDF
1697,7,NDF
1698,10,US
1699,10,US
1700,7,NDF
1701,10,US
1702,10,US
1703,10,US
1704,10,US
1705,7,NDF
1706,10,US
1707,10,US
1708,7,NDF
1709,10,US
1710,10,US
1711,7,NDF
1712,7,NDF
1713,7,NDF
1714,7,NDF
1715,10,US
1716,4,FR
1717,10,US
1718,7,NDF
1719,10,US
1720,10,US
1721,7,NDF
1722,1,CA
1723,7,NDF
1724,7,NDF
1725,10,US
1726,7,NDF
1727,10,US
1728,7,NDF
1729,7,NDF
1730,10,US
1731,7,NDF
1732,7,NDF
1733,7,NDF
1734,7,NDF
1735,3,ES
1736,7,NDF
1737,10,US
1738,7,NDF
1739,10,US
1740,10,US
1741,10,US
1742,10,US
1743,7,NDF
1744,7,NDF
1745,10,US
1746,10,US
1747,7,NDF
1748,7,NDF
1749,10,US
1750,10,US
1751,10,US
1752,7,NDF
1753,7,NDF
1754,10,US
1755,4,FR
1756,5,GB
1757,4,FR
1758,7,NDF
1759,10,US
1760,1,CA
1761,10,US
1762,10,US
1763,7,NDF
1764,10,US
1765,10,US
1766,4,FR
1767,7,NDF
1768,7,NDF
1769,7,NDF
1770,7,NDF
1771,10,US
1772,7,NDF
1773,7,NDF
1774,2,DE
1775,7,NDF
1776,7,NDF
1777,5,GB
1778,7,NDF
1779,7,NDF
1780,7,NDF
1781,11,other
1782,10,US
1783,10,US
1784,10,US
1785,10,US
1786,7,NDF
1787,6,IT
1788,10,US
1789,7,NDF
1790,7,NDF
1791,7,NDF
1792,10,US
1793,7,NDF
1794,10,US
1795,3,ES
1796,7,NDF
1797,7,NDF
1798,8,NL
1799,10,US
1800,7,NDF
1801,4,FR
1802,11,other
1803,10,US
1804,7,NDF
1805,10,US
1806,10,US
1807,5,GB
1808,7,NDF
1809,7,NDF
1810,10,US
1811,7,NDF
1812,10,US
1813,4,FR
1814,10,US
1815,10,US
1816,7,NDF
1817,10,US
1818,10,US
1819,10,US
1820,10,US
1821,10,US
1822,7,NDF
1823,6,IT
1824,7,NDF
1825,7,NDF
1826,11,other
1827,10,US
1828,10,US
1829,10,US
1830,10,US
1831,4,FR
1832,7,NDF
1833,10,US
1834,7,NDF
1835,7,NDF
1836,10,US
1837,10,US
1838,10,US
1839,10,US
1840,10,US
1841,7,NDF
1842,10,US
1843,7,NDF
1844,7,NDF
1845,4,FR
1846,6,IT
1847,10,US
1848,10,US
1849,1,CA
1850,7,NDF
1851,7,NDF
1852,7,NDF
1853,7,NDF
1854,10,US
1855,10,US
1856,10,US
1857,7,NDF
1858,10,US
1859,7,NDF
1860,10,US
1861,7,NDF
1862,7,NDF
1863,1,CA
1864,7,NDF
1865,10,US
1866,10,US
1867,10,US
1868,7,NDF
1869,7,NDF
1870,3,ES
1871,10,US
1872,7,NDF
1873,7,NDF
1874,10,US
1875,10,US
1876,7,NDF
